sep=;
dias;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total
5;19192.60;18408.70;17781.30;17352.40;17080.70;16870.40;16365.20;17540.80;19579.40;22197.60;23495.40;23781.60;23094.80;21964.80;23256.90;25155.60;25016.60;24123.40;23418.90;23963.80;22635.70;21573.90;21223.70;20207.40;505281.70
6;19085.80;18341.50;17648.20;17197.10;16870.10;16869.60;16866.10;16308.00;18925.10;20691.20;21737.90;23026.80;23394.30;22328.80;23534.50;25478.70;24620.00;23096.50;23632.40;24125.20;23064.90;21960.50;21378.20;20346.20;500527.60
7;19357.10;18526.40;17833.70;17223.60;16885.90;16796.10;16883.70;17431.60;19908.60;22925.00;23788.30;24125.90;23293.40;22314.40;23347.60;25227.90;25148.40;24180.10;23532.10;24020.90;22794.20;21927.60;21306.90;20315.80;509095.20
8;19340.30;18463.80;17804.60;17331.00;17054.80;17050.10;17179.00;15362.90;17433.30;20517.20;21622.50;21934.40;21493.80;22583.50;23820.60;25723.90;25555.20;24632.70;24026.20;24326.40;23019.10;21953.10;21366.00;20591.50;500186.00
9;19676.10;18972.90;18318.90;17676.00;17248.00;16944.30;17093.90;17435.20;19217.60;22188.90;23440.80;23721.80;23191.40;21427.80;21846.00;23692.10;23719.60;23008.40;23199.20;23686.40;21756.10;20675.80;20364.30;19573.30;498074.80
10;18952.00;18232.90;17626.30;17042.10;16795.40;16592.00;16473.50;16346.40;17583.20;19318.00;20664.30;20838.20;20638.10;19517.30;19907.30;20009.10;19964.00;20969.70;21537.90;22543.30;21801.40;21306.80;21059.10;20113.10;465831.60
11;19173.20;18393.90;17729.40;17370.00;17163.60;17092.70;17126.70;17801.00;20284.10;23042.10;24086.20;24650.20;23591.40;22404.20;23506.70;25631.20;25479.80;24600.80;23968.80;24124.90;22944.50;22026.20;21573.00;20546.90;514311.50
12;19456.30;18485.40;17844.10;17271.10;16973.40;16915.40;17041.20;17665.80;20085.90;22917.90;24012.40;24391.30;23497.00;22563.60;23623.70;25471.20;24776.30;24079.80;23789.10;24289.90;23073.40;22185.60;21864.30;20802.30;513076.40
13;19745.30;18899.30;18339.70;17848.70;17509.10;17441.40;17420.40;18001.40;20179.80;22882.80;23964.70;24515.60;23776.60;22735.00;23635.40;25714.00;25813.50;24964.40;24304.80;24933.40;23742.90;22747.20;22174.80;21075.80;522366.30
14;19864.40;19017.10;18438.40;17824.60;17411.30;17290.00;17301.30;18039.10;20666.30;23754.70;24705.10;24962.70;24144.60;23202.00;24149.70;25941.70;25963.80;25309.20;24663.50;24891.40;23719.80;22717.00;21662.90;20580.40;526220.80
15;19683.60;18687.50;18101.90;17533.10;17147.90;17050.00;17092.00;17585.50;20144.60;23279.50;24399.00;24726.20;23910.30;23138.50;24076.00;26126.90;25946.60;25016.40;24363.10;24812.40;23554.80;22351.30;21895.00;21072.10;521694.30
16;20111.60;19313.50;18520.00;17960.50;17382.70;17229.30;17132.10;17653.70;19655.40;22692.60;23907.60;24151.40;23694.20;22253.00;22731.50;24630.10;24640.70;23696.00;23924.00;24527.50;23254.70;22234.80;21895.80;21108.70;514301.20
17;20426.20;19678.40;18898.40;18005.90;17014.80;17684.50;17467.80;17609.20;18932.40;20819.80;22106.60;22314.30;22116.10;20923.10;21093.10;21117.30;21016.60;21755.50;22447.80;23606.80;22980.50;22678.20;22410.00;21585.90;494689.40
18;20656.40;19832.80;19081.30;18520.70;18109.80;17968.30;17820.70;17690.30;21136.50;24522.60;25791.70;26354.20;25491.70;24329.80;25271.00;27191.30;26974.20;26048.60;25206.80;25563.70;24193.10;23245.00;22679.80;21624.30;545304.70
19;20503.00;19640.80;19000.90;18429.40;18089.70;17904.80;17874.00;16401.40;19202.70;21357.30;23076.00;24762.80;23868.50;22526.90;24172.80;25645.50;24991.10;24239.10;23820.30;24192.40;23180.90;21996.50;21356.50;20428.70;516662.10
20;19424.30;18623.90;17961.50;17266.70;16813.10;16781.00;16890.90;17642.10;19577.90;21796.40;22167.30;22502.90;21523.50;20266.30;21188.90;22990.70;23137.80;22879.50;22662.30;23173.50;22032.60;21131.20;20613.20;19713.60;488760.90
21;18787.80;18140.50;17622.70;17176.20;16945.30;17045.00;17212.70;18043.30;18712.90;22695.20;24392.90;24765.40;23793.40;22342.30;23332.70;25513.90;25279.80;24512.70;24024.60;24528.80;23157.00;22132.20;21102.40;20065.30;511325.10
