0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
19454.8,18693.9,17951,17414.4,17073.6,17045.5,17006.1,17823.6,20433.2,23686.3,24867.4,25040.3,24156.6,23178.8,24216.9,26078.8,25787.5,24981.3,24208.5,24451,22924.1,21848,21470.1,20647.8
19870.5,19143.9,18448.5,17636.2,11466.7,14771.1,15572.3,16590.4,19167.3,22532.3,23808.7,24109.1,23495.4,21875.1,22281.3,24156.1,24138.1,23340.3,23351.3,23938.9,22686.3,21569.2,21059.6,20382.2
19668.9,19056.4,18467.7,17816.2,17419.6,17272.2,16981.3,17291,18574.7,20482.7,21848.4,21887,21708.2,20365.4,20509,20563,20679.3,21838.3,22469.4,23508.1,22700,22055.9,21452.6,20701.8
19851,19276.8,18626,18105.1,17890.4,17883.9,17655.5,18403.2,21135,24013.7,25097.2,25406.2,24499.1,23465.4,24603.4,26645,26468.8,25501,24413.7,24787.5,23681.6,22822.3,22138,20933.3
19858.5,19044.2,18296.4,17641.4,17213,17136.5,17150.8,18041,20583.4,23163.1,24303.4,24920.9,23771.9,22842.7,23958.6,25892.7,25970.3,25031,24167.2,24645.8,23504.2,22601.1,21845.9,20707.4
19710,18951,18221.2,17657.4,17321.8,17223.4,17056.9,17959.9,19137.6,21552.5,22459.7,24374.6,23428.1,22417.2,23773,25692,25491,24712.2,23942.5,24263.2,23073.3,22290.4,21522.2,20377.9
19125.9,18324.1,17701.7,17218.8,16805.1,16735.4,16614.1,17526.3,20184.5,23210.6,24444.6,24690.4,23581,22806.1,23968.1,25866.9,25686.2,24786.8,23848.6,24525.7,23553,22681.7,21971.4,20866.4
19983.4,19259.9,18749.2,18322.2,18001.8,17928.1,17844,18825.7,21169.6,23801.9,25162.2,25308.8,24448.1,23648.1,24594.3,26689.5,26607.1,25681.4,24918.8,25200.8,23911.5,22727.8,22225.1,21405.9
20588.3,19863,19250.8,18682.6,18368.6,18115,18052.2,18490.5,20298.2,23425.7,24287.6,24275.6,23422.4,21639.6,22305.4,24445.5,24650.8,23975.7,23778.3,24436.1,22727.9,21308.2,21269,20612.9
19908.1,19240.9,18650.8,17991,17546,17351.9,16980.7,17337,18649.9,20268.1,21375.2,21572.7,21341.9,20010.4,20018.3,20290.6,20391.7,21280.4,21756.7,22581.1,21801.7,21415.4,21043.6,20258.3
19456.1,18777.5,18250.6,17805.4,17481.6,17497.7,17339.1,18302,20925.9,23923.4,25136.2,25568.2,24673.2,23513.1,24328.7,25924.5,25902.1,24933.6,24000.1,24420,23065.5,22273.5,21789.8,20788.1
19735.1,18876.4,18255.1,17799.7,17484.7,17266.4,17120.1,18122.3,20722.4,23865.7,24958.3,25479.9,24096.2,23343.1,24613.2,26442,26294.9,25455.8,24627.3,24521.8,23324.5,22653.9,22098.7,21047.4
19563.7,18879,18684,18162.2,17830.7,17657.4,17616.7,18688,21258.8,24067.3,24579,24988.5,24093.7,23149.8,24841.3,26382.5,26077,25420.7,24821.5,25060.4,24008.6,23141.5,22194.7,20628.8
20106.4,19336.2,18578.6,18076.4,17579.1,17509.1,17339.8,18544.7,21006.8,23723.6,24858.2,25456.6,24568,23609.5,24728.7,26518.9,26589.7,25842.9,24870.6,25395.6,24028.6,22727.8,22170,21031.7
19958,19074.4,18288.3,17676.9,17279.8,17349.8,17392.7,18611.4,21143.7,24162.2,25370,25333,23380.5,21541.5,22319.8,24943.1,25155.8,24284.2,23589.9,23788.1,22502.9,21440.9,20736.4,19885.1
19089.5,18222.1,17532.4,17010.4,16675.6,16480.2,16407.6,17260.1,19610.2,22457.7,23946.3,24185.4,23399.3,22040.1,22585.1,24299.4,24481.8,23958.7,23923.2,24354.5,22847.1,21700.7,21331.4,20830
20178.4,19463.2,18830.1,18246.3,17892.4,17588,17109.3,17690.3,19135.9,21160.4,22574.7,22662,22404.6,21002.4,21101.5,21355,21387.2,22496.2,23043.6,23175.4,22411.4,22184.3,21816.1,21166.1
20549.2,19820.6,19220.8,18520.1,18181.9,17937.3,17403.2,17924.2,19150.1,21246.6,22773.6,23023.2,22749.5,21162.5,21194.6,21203.1,21206.2,22307.3,22783.4,23897.5,23061.2,22388.4,22077,21227
20409.8,19709.3,19021.4,18434.8,17989.7,17877.9,17759.7,18953.7,21684.4,24659.2,25831.2,26138.5,25367.8,24366.5,25456,27274.1,26916.4,26006.2,25150.2,25620,24253,23116.8,22476.9,21431.2
20254,19527.5,18889.5,18364.1,18006.6,17847.6,17594.1,18923.8,21496.4,24533.4,25684,26098.3,25187.6,24280.2,25308.3,27105.3,27158.4,26314.2,25541.1,25965.6,24638.2,23656.9,23056.2,21671.6
20572.4,19726.7,19093.4,18589.7,18192.1,18072.1,18032,19260.1,21673.4,24892.5,26055.3,26547.8,25515.1,24561.1,25759.8,27306.2,26571.2,25892.7,25048.5,25414.3,24215,23060.5,21705.3,21471.2
20346.2,19474.6,18783.4,18367,17926.1,17872.9,16916.8,17605.9,18709.6,21693.5,22702.6,23657.2,22502.6,21396.7,22749.3,24944.2,24839.8,24085.1,23162.7,23562.5,22317.1,21277.1,20940.4,20450.3
19612.2,18799.2,18144.7,17615,17320.1,17204.2,17025.1,17770.3,20037.1,23021,24127.8,23865.4,23694.2,22701,23240.5,24976.5,25011.1,24312.9,24149.4,24982.6,23328.4,21987.7,21570.6,20944.1
20209.9,19379.9,18681.1,18179.8,17807.2,17432.1,16951,17623.2,18930.2,21059.8,22298,22830.1,22853.3,21588.9,21767.6,21742.1,21653.3,22688.1,23006.1,24046.9,23256.1,22690.6,22373.4,21568.4
20716.9,19952.9,19271.5,18657.7,18317,18227.9,17990.6,18651,20412.5,22472.3,23174.8,23818.7,23297.5,22797,22771.2,26004.8,26178.5,25627.5,24777.2,25260.3,24157.5,23248.2,21850.9,20496.4
20325,19533.6,18951.6,18463.8,18125.1,18135.5,18167.3,19222.9,21703.4,24523.5,25316.5,25512.8,24565.4,23787.4,24828.4,26651.7,26709.6,25773.7,24758.3,25061.5,23864.6,22863.9,22566.8,21416.6
20311.5,19441.3,18757.5,18251.7,17874.7,17676.3,17609.3,18883.5,21495.4,24500.3,25655.8,26157.1,25237,23679.5,23436,24475.4,24610.5,24149.8,23556.6,24052,23031.9,22507.8,22092.9,21278.2
