0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
6537.946,6150.476,5916.84,5947.832,6076.696,6205.73,6271.142,6275.348,6113.47,5744.926,5185.849,4658.667,4353.371,4249.24,4236.212,4260.386,4319.316,4353.614,4387.509,4508.67,4622.56,4610.003,4552.286,4560.495
4981.195,5812.385,6482.735,6306.21,5544.62,5163.245,5289.603,5452.974,5337.873,5001.29,5106.931,5561.799,6076.767,6429.602,6888.797,7558.463,7840.119,8049.177,8238.123,8490.871,8751.429,9114.452,9448.35,9371.067
8792.667,8030.497,7272.169,6731.276,6371.94,6211.999,6201.764,6008.059,5617.034,5001.476,4439.197,3978.941,3530.614,3283.409,3360.149,3823.091,4483.293,5035.539,5405.564,5527.994,5653.619,5782.072,6113.697,6636.048
7034.909,7359.754,7542.996,7679.943,7661.148,7567.374,7473.416,7571.074,7672.24,7570.783,7204.37,6685.837,5910.936,5162.817,4473.58,4049.213,4067.032,4387.348,4788.204,5163.219,5489.233,5660.832,5896.411,6223.693
6725.887,7449.649,8271.998,8945.354,9162.07,9084.243,9027.147,9054.48,9034.886,8896.879,8612.947,8084.106,7202.114,6304.691,5818.826,5734.52,5780.733,5852.499,5984.754,6133.5,6331.818,6611.164,6933.289,7180.319
7060.759,6611.742,6113.84,5961.001,5948.19,5984.696,6076.684,6574.872,7273.749,7574.83,7285.42,6574.893,5781.971,5154.322,4788.184,4756.187,4967.098,5289.609,5573.194,5782.237,6268.837,6868.866,7034.644,7160.743
7083.003,6563.182,6076.599,6121.541,6372.108,6522.323,6772.188,7209.243,7570.442,7395.766,7128.267,6897.151,6445.752,5881.625,5399.197,5098.087,5256.602,5782.059,6445.76,6989.517,7323.678,7830.28,8504.216,8776.009
8761.487,8755.664,8648.245,8358.939,8064.426,7979.761,7937.534,8013.407,8180.512,8295.341,8240.401,7920.224,7503.936,7287.57,7359.733,7610.422,7765.339,7892.822,8014.649,8014.571,7903.538,7647.251,7557.385,7521.036
7513.006,7534.776,7701.994,8041.583,8203.995,8177.229,8099.985,7949.199,7722.286,7323.69,7016.612,6611.556,5840.025,5072.762,4755.694,4928.737,5289.446,5781.947,6244.516,6703.615,7081.264,7298.869,7541.235,7756.015
7805.053,7840.143,7840.125,7796.116,7734.564,7769.865,7999.392,8225.99,8284.657,8181.424,8013.967,7734.625,7323.688,6996.822,6759.36,6792.231,6973.411,7316.027,7840.116,8492.496,9133.149,9546.381,9790.665,9958.666
9998.596,9985.395,10012.058,10113.034,10164.105,10199.84,10258.594,10309.427,10247.454,10136.039,10153.794,10165.125,10099.519,10038.607,10054.963,10240.513,10352.442,10277.88,9958.638,9695.875,9701.285,9839.179,10012.783,10100.103
10135.055,10042.07,9817.485,9698.932,9814.401,10131.738,10528.697,10885.965,11102.203,11075.283,10901.677,10586.275,10132.877,9728.063,9420.097,9239.945,9052.579,9061.159,9301.476,9596.308,9702.929,9717.913,9665.868,9476.543
9251.241,8974.753,8815.099,8945.713,9159.447,9376.647,9668.13,10039.041,10253.635,10281.82,9936.765,9298.198,8520.114,7865.753,7367.936,7090.439,7074.358,7197.047,7511.245,7922.45,8279.872,8507.086,8629.393,8589.947
8323.518,8079.359,8030.014,8127.194,8275.549,8432.69,8456.281,8507.449,8481.701,8478.888,8583.732,8284.175,7456.728,6386.427,5526.043,5072.989,4858.22,4816.103,4717.892,4465.364,4244.398,4166.749,4190.039,4201.386
4227.259,4473.655,4858.941,5086.098,4954.556,4722.557,4752.932,5073.213,5358.184,5325.367,5106.653,4734.38,4150.276,3567.464,3266.663,3222.724,3201.15,3052.983,3015.259,3252.808,3724.921,4234.538,4753.194,5129.732
5139.733,4876.782,4678.967,4634.968,4205.944,3351.416,2617.611,2096.105,1694.26,1355.394,935.586,541.605,387.051,421.734,603.808,836.254,1113.783,1406.273,1638.391,1841.106,2021.007,1996.131,1948.67,2041.695
2112.757,2268.796,2680.728,3160.136,3361.114,3163.0,2729.626,2110.443,1602.15,1237.835,1022.788,1015.181,1130.653,1360.501,1503.792,1300.153,1001.576,795.553,656.257,504.988,415.204,392.995,498.323,663.198
834.671,965.11,985.411,969.539,857.31,641.898,498.819,513.506,611.211,723.892,723.764,602.846,469.535,415.206,438.575,495.946,594.81,686.712,846.648,1161.053,1576.226,1948.744,2274.657,2504.409
2493.71,2341.605,2201.324,2115.176,1990.766,1828.417,1720.322,1614.436,1527.401,1370.806,1203.554,1063.33,963.812,927.925,984.553,1239.757,1604.207,2080.718,2747.382,3573.771,4353.136,4752.917,4841.159,4596.272
4225.577,4016.278,4006.997,4082.301,3970.738,3933.344,4083.016,4425.498,4830.466,5024.605,5163.198,5289.24,5289.453,5251.409,5207.267,5361.764,5834.396,6574.749,7340.461,8049.369,8666.19,9206.117,9509.065,9610.875
9610.279,9696.379,9985.366,10318.84,10582.182,10552.157,10334.557,10088.9,9863.851,9546.795,8941.296,8012.218,7033.893,6242.734,5617.044,5199.233,5234.836,5591.737,6071.159,6530.327,6824.181,6929.017,6905.423,6832.185
6715.928,6703.629,6727.405,6868.776,6701.633,6190.48,5693.094,5465.312,5405.007,5452.724,5464.281,5361.979,5170.443,5087.774,5183.394,5378.184,5752.437,6247.159,6885.715,7491.364,7967.495,8237.977,8108.932,7840.147
